nomor_pendaftaran,no_prestasi,jenis_prestasi,jenjang_prestasi,individu_berkelompok,lembaga_pemberi_prestasi,tahun,nilai_prestasi,deskripsi,file_sertifikat
426098528,1,Olimpiade (Lainnya),Propinsi,Individu,Dinas Pendidikan Aceh (Bidang Lomba Welding),2025,40,"Saya pernah mengikuti LKS (Lomba Kompetensi Siswa) pada tahun 2025, yang mana pada saat itu saya mendapatkan juara Harapan 1. Dengan mengikuti lomba tersebut saya mendapatkan banyak pengalaman dan ilmu baru..",426098528_1
426107654,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,SMA NEGERI 1 SIMPANG ULIM,2025,30,sekretaris umum UKS,426107654_1
426107654,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,SMA NEGERI 1 SIMPANG ULIM,2025,30,sekretaris umum PMR,426107654_2
426107654,3,Olimpiade Biologi,Kabupaten/Kota,Individu,SMA NEGERI 1 SIMPANG ULIM,2025,35,juara 3 OSN Biologi,426107654_3
426107810,1,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Badan nasional penanggulangan bencana kota langsa,2024,20,peserta,426107810_1
426107810,2,Seni Rupa/Lukis,Kabupaten/Kota,Berkelompok,Dinas pendidikan dan kebudayaan kota langsa,2024,20,juara 2,426107810_2
426107810,3,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Individu,SMK Negeri 3 langsa,2025,30,Sekretaris,426107810_3
426110983,1,Olimpiade Biologi,Kabupaten/Kota,Individu,Sekolah SMAN 1 BUBON,2025,35,Juara 3,426110983_1
426110983,2,Seni Suara/Musik,Kabupaten/Kota,Individu,Pemerintah Gampong Kuala Pling,2023,30,Peserta MTQ,426110983_2
426122730,1,Olahraga,Nasional,Individu,kemenpora RI,2025,40,perunggu popnas XVII 2025 JAKARTA,426122730_1
426122730,2,Olahraga,Nasional,Individu,kemenpora RI,2024,40,perunggu kejurnas U13/U16 surabaya 2024,426122730_2
426122730,3,Olahraga,Nasional,Individu,kemenpora RI,2023,40,perunggu kejurnas pplp/pplpd dan sko 2023,426122730_3
426123653,1,Seni Suara/Musik,Kabupaten/Kota,Individu,Dinas Pendidikan Aceh,2024,30,Juara 1 Vokal Solo Putri tingkat Kabupaten tahun 2024 yang diselenggarakan oleh Dinas Pendidikan Aceh.,426123653_1
426123653,2,Seni Suara/Musik,Kabupaten/Kota,Individu,Dinas Pendidikan Aceh,2025,30,Juara 3 Vokal Solo Putri tingkat Kabupaten tahun 2025 yang diselenggarakan oleh Dinas Pendidikan Aceh.,426123653_2
426126302,1,Drama/Sastra,Kabupaten/Kota,Individu,Kepala cabang dinas pendidikan wilayah kabupaten Aceh Selatan,2025,30,Sertifikat sebagai juara 2 festival lomba seni dan sastra siswa Nasional (FLS3N) cabang lomba cipta puisi jenjang SMK tingkat kabupaten Aceh Selatan tahun 2025,426126302_1
426126302,2,Olahraga,Kabupaten/Kota,Berkelompok,Kapolsek labuhan haji Aceh Selatan,2024,20,"Sertifikat penghargaan telah mengikuti pendidikan dan pelatihan, pasukan pengibar bendera (paskibra)",426126302_2
426126302,3,Olahraga,Kabupaten/Kota,Individu,Dinas pendidikan SMK negeri 1 labuhan haji,2023,30,Piagam penghargaan peserta terbaik dalam rangka kegiatan latihan dasar disiplin korp (LDDK),426126302_3
426126718,1,Olimpiade (Lainnya),Propinsi,Individu,Ketua NBO Bebras Indonesia dan Koordinator Bebras Biro Universitas Syiah Kuala Banda Aceh,2025,40,Peserta Kategori Penegak Bebras Indonesia Challenge 2025,426126718_1
426127307,1,Olimpiade (Lainnya),Internasional,Individu,CHIEF OF COMMITTEE SOE 2025 &amp; STEERING COMMITTEE EDUEXPO,2025,50,TOP 100 NILAI TERTINGGI DALAM BIDANG MATEMATIKA,426127307_1
426127307,2,Olimpiade (Lainnya),Internasional,Individu,CHIEF OF COMMITTEE ISQO 2025 &amp; STEERING COMMITTEE EDUEXPO,2025,50,TOP B+ DALAM BIDANG BIOLOGI,426127307_2
426127307,3,Olimpiade (Lainnya),Nasional,Individu,STEERING COMMITTEE MEPRO USU,2025,45,TOP B+ DALAM BIDANG BIOLOGI,426127307_3
426127859,1,Olimpiade Biologi,Nasional,Individu,STEERING COMMITTEE EDUEXPO dan CHIEF OF COMMITTEE ISQO 2025,2025,45,finalist dari 148.927 peserta dalam kegiatan internasional nasional science qualification olympiad 2025 dalam bidang biologi,426127859_1
426127859,2,Olimpiade Biologi,Nasional,Individu,HIMASPER IPB dan LEMBAGA KOMPETISI INDONESIA,2025,45,Kompetisi Siswa Nasional Bidang Studi : Biologi SMA,426127859_2
426127861,1,Seni Suara/Musik,Kabupaten/Kota,Berkelompok,SAKA BAHARI KEMAH KEBANGGASAN ACEH BARAT,2025,20,Juara 3 lomba paduan suara,426127861_1
426128050,1,Olimpiade (Lainnya),Nasional,Individu,Lentera Pendidikan Indonesia,2025,45,sebagai peserta Olimpiade Sains Siswa Nasional 12,426128050_1
426128331,1,Olahraga,Kabupaten/Kota,Individu,kepala cabang dinas pendidikan,2024,30,juara 1,426128331_1
426128593,1,Olimpiade (Lainnya),Nasional,Individu,PT. Lentera Pendidikan Indonesia,2025,45,Sebagai peserta dalam perlombaan Akademik Tingkat Nasional Olimpiade Sains Siswa Nasional 12,426128593_1
426128977,1,Olimpiade (Lainnya),Nasional,Individu,BIMA SCIENCE STUDENT COMPETITION 3.0,2024,45,Peraih Medali Perunggu,426128977_1
426128977,2,Olimpiade Biologi,Nasional,Individu,KOMPETISI SAINS INDONESIA 3.0,2024,45,Peraih Medali Perak,426128977_2
426130323,1,Drama/Sastra,Nasional,Individu,Bebras Indonesia,2025,40,Peserta Kategori Penegak,426130323_1
426130323,2,Olimpiade (Lainnya),Nasional,Individu,PT. Lentera Pendidikan Indonesia,2025,45,Sebagai peserta dalam perlombaan Akademik Tingkat Nasional OLIMPIADE SAINS SISWA NASIONAL 12,426130323_2
426130368,1,Olimpiade (Lainnya),Nasional,Individu,Lentera Pendidikan Indonesia,2025,45,sebagai peserta Olimpiade Sains Siswa Nasional 12,426130368_1
426130688,1,Olimpiade Komputer,Kabupaten/Kota,Individu,POSYANTEK SIGRUN TEKNO,2023,35,Pemanfaatan Teknologi Arduiuno,426130688_1
426130688,2,Olimpiade Komputer,Kabupaten/Kota,Individu,HAIQAL TEKNO,2024,35,TEKNISI HP ANDROID,426130688_2
426130688,3,Olimpiade Komputer,Kabupaten/Kota,Individu,Cabang Dinas Pendidikan Aceh Wilayah Kota Subulussalam dan Aceh Singkil,2025,35,DIGITAL MARKETING,426130688_3
426131340,1,Olimpiade (Lainnya),Nasional,Individu,Lentera Pendidikan Indonesia,2025,45,sebagai peserta Olimpiade Sains Siswa Nasional 12,426131340_1
426131654,1,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Dinas pendidikan,2025,35,Juara 1 essay,426131654_1
426132450,1,Olimpiade (Lainnya),Nasional,Individu,Lentera Pendidikan Indonesia,2025,45,sebagai peserta Olimpiade Sains Siswa Nasional 12,426132450_1
426132957,1,Olimpiade Komputer,Kabupaten/Kota,Individu,POSYANTEK SIGRUN TEKNO,2023,35,Pemanfaatan Teknologi Arduiuno,426132957_1
426132957,2,Olimpiade Komputer,Kabupaten/Kota,Individu,HAIQAL TEKNO,2024,35,TEKNISI HP ANDROID,426132957_2
426132957,3,Seni Suara/Musik,Kabupaten/Kota,Individu,Cabang Dinas Pendidikan Aceh Wilayah Kota Subulussalam dan Aceh Singkil,2025,30,FLS3N,426132957_3
426134211,1,Olimpiade (Lainnya),Nasional,Individu,OLIMPIADE CERDAS CENDEKIA INDONESIA,2025,45,mendapatkan medali perak PKN pada olimpiade cerdas cendekia indonesia,426134211_1
426134211,2,Olimpiade (Lainnya),Nasional,Individu,Prestasi Siswa Indonesia,2025,45,sebagai peserta aktif pada olimpiade sains yang diselenggarakan oleh Prestasi Siswa Indonesia,426134211_2
426134350,1,Pramuka/Organisasi Ekstrakurikuler,Propinsi,Berkelompok,Gerakan Pramuka Pangkalan Kantor Gubernur Sumatra Utara,2025,25,Juara 2 LCTP (dari 13 sekolah/pangkalan Sumatra Utara hingga Aceh),426134350_1
426134350,2,Pramuka/Organisasi Ekstrakurikuler,Kabupaten/Kota,Berkelompok,Gerakan Pramuka Kwartir cabang kwarcab Deli Serdang (Danyonif 121/Macan Kumbang-LKDT-1MK),2024,20,Juara 4 LCTP LKDT-MK tingkat Kabupaten tahun 2024 (diikuti 20 sekolah/pangkalan).,426134350_2
426134579,1,Olimpiade (Lainnya),Nasional,Individu,Lentera Pendidikan Indonesia,2025,45,sebagai peserta Olimpiade Sains Siswa Nasional 12,426134579_1
426134613,1,Olimpiade (Lainnya),Nasional,Individu,PT. Lentera Pendidikan Indonesia,2025,45,sebagai peserta perlombaan Akademik Tingkat Nasional Olimpiade Sains Siswa Nasional 12,426134613_1
426134804,1,Seni Rupa/Lukis,Kabupaten/Kota,Individu,FLS3N,2025,30,Juara 3 (dari 8 peserta) lomba kria,426134804_1
426134804,2,Olahraga,Kabupaten/Kota,Individu,O2SN,2025,30,Juara 3 (dari 7 peserta) lomba olimpiade olahraga,426134804_2
426135799,1,Olimpiade (Lainnya),Internasional,Berkelompok,KOLEJ VOKASIONAL GOMBAK,2024,40,Juara 1 pertandingan video tiktok tema iklan tudung kv di malaysia,426135799_1
426135799,2,Olimpiade (Lainnya),Internasional,Individu,kolej vokasional gombak,2024,50,juara 2 badminton di kvg malaysia,426135799_2
426135799,3,Olimpiade (Lainnya),Kabupaten/Kota,Individu,cabang dinas aceh barat daya,2025,35,juara 2 cipta puisi sesmk aceh barat daya,426135799_3
426136297,1,Olimpiade Komputer,Kabupaten/Kota,Individu,POSYANTEK SIGRUN TEKNO,2023,35,Pemanfaatan Teknologi Arduiuno,426136297_1
426136297,2,Olimpiade Komputer,Kabupaten/Kota,Individu,HAIQAL TEKNO,2024,35,TEKNISI HP ANDROID,426136297_2
426136297,3,Olimpiade Komputer,Kabupaten/Kota,Berkelompok,Cabang Dinas Pendidikan Aceh Wilayah Kota Subulussalam dan Aceh Singkil,2025,25,LANSKAP DAN PERTAMANAN,426136297_3
426137086,1,Olahraga,Kabupaten/Kota,Berkelompok,PengProv Faji Aceh,2025,20,Juara 2 (dari 12 Kabupaten) lomba Arung Jeram kategori SPRINT,426137086_1
426137086,2,Olahraga,Kabupaten/Kota,Berkelompok,PengProv Faji Aceh,2025,20,Juara 2 (dari 12 Kabupaten) lomba Arung Jeram kategori Down River Race,426137086_2
426137086,3,Olahraga,Kabupaten/Kota,Berkelompok,PengProv Faji Aceh,2025,20,Juara 2 (dari 12 Kabupaten) lomba Arung Jeram kategori Sralom,426137086_3
426137117,1,Olimpiade Komputer,Kabupaten/Kota,Individu,SB-NGODING,2023,35,Pembuatan Desain UI Toko Online Berbasis Website,426137117_1
426137117,2,Olimpiade Komputer,Kabupaten/Kota,Individu,HAIQAL TEKNO,2024,35,TEKNISI HP ANDROID,426137117_2
426137117,3,Olimpiade Komputer,Kabupaten/Kota,Individu,POSYANTEK SIGRUN TEKNO,2023,35,Pemanfaatan Teknologi Arduiuno,426137117_3
426139077,1,Olimpiade Komputer,Kabupaten/Kota,Individu,POSYANTEK SIGRUN TEKNO,2023,35,Pemanfaatan Teknologi Arduiuno,426139077_1
426139077,2,Olimpiade Komputer,Kabupaten/Kota,Individu,HAIQAL TEKNO,2024,35,TEKNISI HP ANDROID,426139077_2
426139077,3,Olimpiade (Lainnya),Kabupaten/Kota,Berkelompok,Cabang Dinas Pendidikan Aceh Wilayah Kota Subulussalam dan Aceh Singkil,2025,25,LANSKAP DAN PERTAMANAN (LANSCAPE AND GARDANING),426139077_3
426139451,1,Drama/Sastra,Kabupaten/Kota,Individu,Puspresnas,2025,30,Juara 1 Tingkat kabupaten Aceh selatan antar SMK,426139451_1
426139840,1,Drama/Sastra,Kabupaten/Kota,Berkelompok,puspresnas,2025,20,juara 1 tingkat kabupaten Aceh besar antar SMK,426139840_1
426140486,1,Olimpiade Komputer,Propinsi,Individu,Balai Pengembangan Talenta Indonesia (BPTI),2025,40,Finalis Olimpiade Sains Nasional (OSN) Bidang Informatika,426140486_1
426140486,2,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Cabang Dinas Pendidikan Wilayah Kota Subulussalam dan Kabupaten Aceh Singkil Bekerjasama dengan Kepolisian Resor Aceh Singkil,2024,35,Juara 1 Duta Pelajar Kamtibmas Jenjang SMA dan SMK Se-Kabupaten Aceh Singkil,426140486_2
426140486,3,Olimpiade (Lainnya),Kabupaten/Kota,Individu,Kepala Dinas Perhubungan Aceh Singkil,2024,35,Juara 3 Pada Seleksi/Pemilihan Pelajar Pelopor Keselamatan Lalu Lintas dan Angkutan Jalan,426140486_3
426140665,1,Olimpiade Biologi,Nasional,Individu,Lembaga Prestasi Pelajar,2025,45,Peserta kegiatan Indonesian Student Star Competition bidang studi BIOLOGI SMA,426140665_1
426140665,2,Olimpiade (Lainnya),Nasional,Individu,Yayasan Hati Mulia,2025,45,Peraih Medali Perak Festival Olimpiade Sains Tingkat Nasional (FOSNAS),426140665_2
426140665,3,Olimpiade Biologi,Nasional,Individu,PAKMANAFF,2026,45,Peraih Medali Perunggu pada cabang lomba OLIMPIADE SAINS PAKMANAFF bidang BIOLOGI,426140665_3
