nomor_pendaftaran,semester,kode_mata_pelajaran,wajib,tingkat,nilai,nilai_validasi_tka,tahun_kur,unit,kkm,asal_sekolah
426280627,2,999800716,TRUE,11,93.00,86.36,2013,JAM,75.00,
426342452,2,IPAK,TRUE,10,83.00,79.70,2023,JAM,0.00,
426030783,1,999800702,TRUE,10,92.00,84.35,2013,JAM,75.00,
426015936,2,999800717,FALSE,11,96.00,84.40,2023,JAM,0.00,
426236351,2,999800715,TRUE,11,81.00,72.55,2023,JAM,0.00,
426147005,2,401121000,FALSE,11,90.00,77.88,2023,JAM,0.00,
426047571,1,999800711,TRUE,11,93.00,79.87,2023,JAM,0.00,
426069801,2,999800711,TRUE,11,86.00,76.11,2023,JAM,0.00,
426140535,2,200010300,TRUE,11,90.00,77.80,2023,JAM,0.00,
426140372,1,IPAK,TRUE,10,83.00,76.07,2023,JAM,0.00,
426292698,2,999800713,FALSE,11,82.00,70.68,2013,JAM,75.00,
426157127,1,999800711,TRUE,12,97.00,83.22,2023,JAM,0.00,
426019859,1,999800702,TRUE,10,92.00,78.21,2023,JAM,0.00,
426125993,1,999800709,FALSE,11,85.00,82.83,2013,JAM,85.00,
426007195,1,999800713,TRUE,10,82.00,71.51,2013,JAM,70.00,
426148203,1,999800711,TRUE,12,93.00,82.70,2023,JAM,0.00,
426163086,1,999800711,TRUE,12,98.00,88.55,2023,JAM,0.00,
426264230,1,999800704,FALSE,11,94.00,80.53,2023,JAM,0.00,
426133250,2,999800703,FALSE,10,77.00,65.88,2013,JAM,70.00,
426025075,1,100011050,FALSE,12,88.00,78.41,2023,JAM,0.00,
426231753,1,999800702,TRUE,10,93.00,88.63,2023,JAM,0.00,
426151862,1,999800715,FALSE,10,82.00,72.92,2013,JAM,72.00,
426332163,1,710101000,FALSE,12,91.00,86.07,2023,JAM,0.00,
426315804,2,710101000,TRUE,10,87.00,74.73,2023,JAM,0.00,
426168642,1,999800711,TRUE,10,86.00,74.15,2023,JAM,0.00,
426147293,1,999800711,TRUE,10,80.00,71.19,2023,JAM,0.00,
426293123,2,999800701,TRUE,11,93.00,81.52,2023,JAM,0.00,
426318891,2,999800713,TRUE,10,86.00,76.89,2013,JAM,75.00,
426143765,2,IPAK,TRUE,10,89.00,76.25,2023,JAM,0.00,
426340696,1,999800717,FALSE,11,82.00,77.21,2023,JAM,0.00,
426137555,1,999800408,TRUE,11,80.00,72.50,2023,JAM,0.00,
426297113,1,999800702,TRUE,12,92.00,83.06,2023,JAM,0.00,
426145931,1,200010300,TRUE,11,78.00,76.47,2023,JAM,0.00,
426151736,1,600060000,FALSE,11,91.00,79.16,2023,JAM,0.00,
426051492,1,MPKK,TRUE,11,87.00,77.71,2023,JAM,0.00,
426234399,1,999800709,TRUE,10,85.00,72.79,2023,JAM,0.00,
426232710,1,999800408,TRUE,10,81.00,76.40,2023,JAM,0.00,
426162254,1,999800702,TRUE,11,84.00,79.53,2023,JAM,0.00,
426164688,1,999800709,TRUE,12,92.00,80.53,2023,JAM,0.00,
426255508,1,200010300,TRUE,11,84.00,72.80,2023,JAM,0.00,
426242547,1,999800702,FALSE,10,77.00,75.72,2013,JAM,70.00,
426147264,1,SPR,TRUE,10,86.00,79.83,2023,JAM,0.00,
426046366,1,600060000,FALSE,11,90.00,77.48,2023,JAM,0.00,
426341563,1,200010300,TRUE,12,95.00,87.85,2023,JAM,0.00,
426247321,1,999800711,FALSE,12,90.00,77.40,2013,JAM,70.00,
426328319,2,200010300,TRUE,11,83.00,72.67,2023,JAM,0.00,
426189810,2,710101000,TRUE,10,84.00,72.94,2023,JAM,0.00,
426180066,2,710101000,TRUE,10,83.00,72.55,2023,JAM,0.00,
426147218,2,999800702,TRUE,11,78.00,67.81,2023,JAM,0.00,
426145843,1,999800709,TRUE,12,92.00,78.52,2023,JAM,0.00,
426341625,1,999800702,TRUE,11,80.00,71.24,2023,JAM,0.00,
426138986,2,999800408,TRUE,11,93.00,83.93,2023,JAM,0.00,
426136652,1,200010300,TRUE,12,90.00,77.29,2023,JAM,0.00,
426231093,2,999800701,FALSE,10,85.00,73.51,2013,JAM,70.00,
426174900,1,999800702,TRUE,11,80.00,70.83,2023,JAM,0.00,
426028908,1,999800709,TRUE,11,90.00,80.79,2023,JAM,0.00,
426148726,2,IPSK,TRUE,10,94.00,82.22,2023,JAM,0.00,
426252897,2,200010300,TRUE,11,88.00,86.94,2023,JAM,0.00,
426018712,2,200010300,TRUE,11,88.00,76.99,2023,JAM,0.00,
426341291,2,999800713,TRUE,11,93.00,90.58,2013,JAM,78.00,
426130688,1,530002,FALSE,10,85.00,74.27,2013,JAM,75.00,
426253440,2,999800711,TRUE,10,90.00,83.35,2023,JAM,0.00,
426194142,1,999800701,TRUE,10,74.00,68.42,2023,JAM,0.00,
426152941,1,999800702,TRUE,11,79.00,71.10,2013,JAM,76.00,
426261764,1,999800408,TRUE,12,94.00,89.99,2023,JAM,0.00,
426132659,2,999800702,TRUE,10,85.00,73.86,2013,JAM,75.00,
426266590,1,999800717,FALSE,11,88.00,83.17,2023,JAM,0.00,
426150689,2,999800708,FALSE,11,87.00,86.34,2023,JAM,0.00,
426248554,2,999800702,FALSE,10,92.00,89.97,2013,JAM,71.00,
426248193,2,999800709,TRUE,10,88.00,77.10,2013,JAM,70.00,
426246706,2,200010300,TRUE,11,92.00,79.22,2023,JAM,0.00,
426140485,2,KBA,FALSE,11,90.00,78.31,2013,JAM,75.00,
426261764,2,999800708,FALSE,11,93.00,89.03,2023,JAM,0.00,
426177129,1,999800702,TRUE,12,99.00,85.53,2023,JAM,0.00,
426011023,2,999800711,TRUE,11,93.00,80.86,2023,JAM,0.00,
426197141,1,IPSK,TRUE,10,81.00,75.78,2023,JAM,0.00,
426257127,1,999800701,TRUE,10,91.00,85.58,2013,JAM,75.00,
426148788,1,999800709,TRUE,10,85.00,72.55,2013,JAM,70.00,
426336504,2,999800711,TRUE,10,98.00,87.51,2023,JAM,0.00,
426217275,2,999800701,TRUE,11,94.00,80.59,2013,JAM,75.00,
426128508,1,999800701,TRUE,10,90.00,77.07,2023,JAM,0.00,
426050866,1,999800717,FALSE,11,83.00,81.23,2023,JAM,0.00,
426122730,2,999800709,TRUE,11,87.00,76.89,2023,JAM,0.00,
426147220,1,999800701,TRUE,11,90.00,85.11,2023,JAM,0.00,
426153403,1,999800711,TRUE,12,94.00,87.30,2023,JAM,0.00,
426182351,2,SPR,TRUE,10,89.00,77.38,2023,JAM,0.00,
426140638,2,999800701,TRUE,10,81.00,76.18,2023,JAM,0.00,
426245995,2,999800704,FALSE,11,98.00,83.59,2023,JAM,0.00,
426064006,1,801050100,FALSE,12,94.00,82.45,2013,JAM,70.00,
426184061,2,999800704,FALSE,11,91.00,82.12,2023,JAM,0.00,
426201874,1,MPKK,TRUE,11,90.00,77.78,2023,JAM,0.00,
426158920,1,999800702,TRUE,12,94.00,82.22,2023,JAM,0.00,
426032862,1,999800716,TRUE,11,90.00,77.83,2013,JAM,75.00,
426183055,2,200010300,TRUE,11,90.00,79.98,2023,JAM,0.00,
426179348,2,999800408,TRUE,11,93.00,79.11,2023,JAM,0.00,
426127307,1,999800711,TRUE,12,98.00,83.45,2023,JAM,0.00,
426139077,2,405002,FALSE,11,91.00,78.04,2013,JAM,78.00,
426053137,1,999800702,FALSE,11,79.00,69.36,2013,JAM,78.00,
426237523,1,999800701,TRUE,12,98.00,91.34,2023,JAM,0.00,
426189810,2,300310100,FALSE,11,91.00,79.02,2023,JAM,0.00,
426301756,1,999800702,TRUE,10,84.00,79.55,2023,JAM,0.00,
426270427,1,999800704,FALSE,11,92.00,80.33,2023,JAM,0.00,
426071182,1,801050100,FALSE,11,95.00,81.48,2013,JAM,75.00,
426210404,1,200010300,TRUE,11,83.00,73.06,2023,JAM,0.00,
426233122,1,999800408,FALSE,11,82.00,70.76,2013,JAM,75.00,
426167887,2,999800702,FALSE,11,91.00,79.78,2013,JAM,75.00,
426015936,1,999800701,TRUE,11,95.00,83.52,2023,JAM,0.00,
426315479,1,999800708,FALSE,11,83.00,71.82,2023,JAM,0.00,
426140665,1,999800701,TRUE,12,91.00,79.12,2013,JAM,78.00,
426246002,1,200010300,TRUE,10,92.00,78.26,2023,JAM,0.00,
426132641,1,999800711,TRUE,12,92.00,80.83,2013,JAM,75.00,
426336755,2,999800715,TRUE,11,92.00,84.33,2023,JAM,0.00,
426236699,1,999800713,TRUE,10,81.00,71.83,2013,JAM,72.00,
426260635,1,600060000,FALSE,12,95.00,81.48,2023,JAM,0.00,
426249366,2,999800702,TRUE,11,88.00,80.77,2023,JAM,0.00,
426148203,2,999800709,TRUE,10,82.00,72.92,2023,JAM,0.00,
426336197,1,401002000,FALSE,12,97.00,88.31,2023,JAM,0.00,
426023018,2,400002,FALSE,10,78.00,72.75,2013,JAM,70.00,
426243330,2,401121000,FALSE,10,72.00,65.49,2013,JAM,70.00,
426151840,1,10150,FALSE,11,90.00,88.23,2023,JAM,0.00,
426245788,2,999800711,TRUE,11,83.00,71.30,2023,JAM,0.00,
426148422,2,336201,FALSE,10,91.00,79.23,2013,JAM,75.00,
426246108,2,999800709,TRUE,10,90.00,78.30,2023,JAM,0.00,
426139077,1,999800711,FALSE,12,92.00,78.90,2013,JAM,75.00,
426047588,2,999800408,TRUE,10,82.00,73.11,2023,JAM,0.00,
426003643,2,999800711,TRUE,10,85.00,77.57,2023,JAM,0.00,
426332163,1,401121000,FALSE,11,89.00,84.18,2023,JAM,0.00,
426128593,1,999800708,FALSE,11,91.00,80.16,2013,JAM,76.00,
426261764,2,999800715,TRUE,11,92.00,88.08,2023,JAM,0.00,
426115960,2,999800711,TRUE,11,88.00,75.94,2023,JAM,0.00,
426163934,2,300230000,FALSE,11,82.00,70.45,2023,JAM,0.00,
426287274,2,999800703,FALSE,10,84.00,75.31,2013,JAM,65.00,
426336403,2,SPR,TRUE,10,87.00,82.04,2023,JAM,0.00,
426025805,2,999800711,TRUE,11,83.00,72.76,2023,JAM,0.00,
426023770,1,999800408,TRUE,10,82.00,75.65,2023,JAM,0.00,
426128593,2,999800408,TRUE,11,87.00,76.63,2013,JAM,76.00,
426259516,2,999800408,TRUE,11,91.00,80.97,2023,JAM,0.00,
426131654,1,999800408,TRUE,10,85.00,78.08,2023,JAM,0.00,
426025075,2,SPR,TRUE,10,83.00,73.96,2023,JAM,0.00,
426214562,2,999800716,TRUE,11,86.00,79.64,2013,JAM,75.00,
426333407,2,600070200,TRUE,11,85.00,73.81,2023,JAM,0.00,
426343725,1,999800711,TRUE,12,94.00,80.75,2023,JAM,0.00,
426173051,1,999800708,FALSE,10,86.00,74.73,2013,JAM,70.00,
426246108,2,200010300,TRUE,11,92.00,80.04,2023,JAM,0.00,
426131340,1,999800713,TRUE,12,86.00,76.53,2013,JAM,78.00,
426230722,1,999800703,FALSE,12,82.00,72.45,2023,JAM,0.00,
426331154,2,999800708,FALSE,11,95.00,87.25,2023,JAM,0.00,
426329985,1,999800704,FALSE,11,88.00,85.66,2013,JAM,78.00,
426264458,1,999800715,TRUE,11,82.00,72.68,2023,JAM,0.00,
426331154,1,IPAK,TRUE,10,79.00,72.55,2023,JAM,0.00,
426337383,1,999800702,TRUE,11,83.00,77.71,2023,JAM,0.00,
426151736,2,600060000,FALSE,11,93.00,80.90,2023,JAM,0.00,
426133473,1,999800711,TRUE,12,91.00,80.74,2023,JAM,0.00,
426315817,2,999800711,TRUE,11,85.00,75.16,2023,JAM,0.00,
426247386,1,400002,FALSE,11,79.00,70.42,2013,JAM,72.00,
426130323,1,999800715,FALSE,11,85.00,76.35,2013,JAM,76.00,
426150689,1,999800703,FALSE,11,85.00,84.36,2023,JAM,0.00,
426194142,2,999800709,TRUE,10,77.00,71.20,2023,JAM,0.00,
426134211,2,999800716,TRUE,10,78.00,68.15,2013,JAM,75.00,
426041639,1,999800701,TRUE,11,85.00,74.70,2023,JAM,0.00,
426058054,1,999800711,TRUE,10,83.00,71.94,2013,JAM,60.00,
426140216,1,999800711,TRUE,11,80.00,69.52,2023,JAM,0.00,
426064878,1,999800701,FALSE,10,83.00,74.33,2013,JAM,75.00,
426343725,2,999800706,FALSE,11,86.00,73.87,2023,JAM,0.00,
426234399,1,999800408,TRUE,11,93.00,79.64,2023,JAM,0.00,
426281738,2,999800703,FALSE,10,91.00,82.54,2013,JAM,70.00,
426252744,1,999800701,TRUE,10,87.00,83.39,2023,JAM,0.00,
426140372,1,200010300,TRUE,12,92.00,84.32,2023,JAM,0.00,
426330185,2,530001,FALSE,11,93.00,82.03,2013,JAM,75.00,
426233243,1,999800702,TRUE,12,92.00,78.62,2023,JAM,0.00,
426340329,2,999800706,FALSE,11,85.00,78.30,2013,JAM,78.00,
426336403,1,600060000,FALSE,11,88.00,82.98,2023,JAM,0.00,
426337104,2,710101000,TRUE,10,92.00,89.84,2023,JAM,0.00,
426315559,2,999800715,FALSE,10,78.00,68.86,2013,JAM,65.00,
426157076,1,999800702,TRUE,11,88.00,76.27,2023,JAM,0.00,
426234399,1,401121000,FALSE,12,94.00,80.50,2023,JAM,0.00,
426231736,2,999800701,TRUE,10,86.00,77.98,2023,JAM,0.00,
426262474,2,999800701,TRUE,11,91.00,83.29,2023,JAM,0.00,
426250552,2,999800715,FALSE,10,85.00,77.06,2013,JAM,75.00,
426148422,1,831030300,FALSE,10,88.00,76.62,2013,JAM,75.00,
426047341,1,400001,FALSE,11,80.00,70.63,2013,JAM,75.00,
426150533,2,IPAK,TRUE,10,83.00,71.19,2023,JAM,0.00,
426138107,2,710101000,TRUE,10,88.00,78.83,2023,JAM,0.00,
426074141,2,999800408,TRUE,10,85.00,74.67,2013,JAM,75.00,
426143411,2,401121000,FALSE,11,91.00,79.17,2013,JAM,76.00,
426315817,1,999800701,TRUE,11,80.00,70.74,2023,JAM,0.00,
426147257,1,999800708,FALSE,12,96.00,90.76,2023,JAM,0.00,
426177950,2,999800709,TRUE,11,94.00,80.02,2023,JAM,0.00,
426135568,1,999800711,TRUE,11,90.00,78.52,2023,JAM,0.00,
426133250,2,825010100,FALSE,10,90.00,77.00,2013,JAM,75.00,
426237505,2,IPSK,TRUE,10,87.00,75.75,2023,JAM,0.00,
426018008,1,999800713,FALSE,10,80.00,70.38,2013,JAM,75.00,
426334939,1,417005,FALSE,11,96.00,81.66,2013,JAM,75.00,
426146409,1,999800702,TRUE,10,76.00,70.86,2023,JAM,0.00,
426037460,1,999800701,TRUE,11,88.00,77.81,2013,JAM,75.00,
426124425,1,999800716,TRUE,11,92.00,78.51,2023,JAM,0.00,
426134350,1,999800716,TRUE,11,87.00,80.50,2023,JAM,0.00,
426157332,1,200010300,TRUE,11,90.00,76.97,2023,JAM,0.00,
426145843,1,200010300,TRUE,10,82.00,69.99,2023,JAM,0.00,
426256329,1,999800711,TRUE,11,86.00,73.61,2023,JAM,0.00,
426132450,1,401121000,FALSE,12,88.00,77.94,2013,JAM,78.00,
426278028,1,999800701,TRUE,11,85.00,74.51,2023,JAM,0.00,
426277929,2,999800711,TRUE,10,92.00,83.78,2013,JAM,75.00,
426152899,2,MPKK,TRUE,11,81.00,71.57,2023,JAM,0.00,
426246706,2,999800408,TRUE,10,85.00,73.19,2023,JAM,0.00,
426260602,1,999800702,TRUE,10,92.00,79.06,2023,JAM,0.00,
426149325,1,401121000,FALSE,11,81.00,70.91,2013,JAM,76.00,
426336511,2,400001,FALSE,11,90.00,79.31,2013,JAM,75.00,
426305160,1,999800717,FALSE,11,87.00,75.84,2023,JAM,0.00,
426292110,1,999800408,FALSE,10,83.00,73.12,2013,JAM,78.00,
426181200,1,401121000,FALSE,11,86.00,73.51,2023,JAM,0.00,
426104913,2,999800713,FALSE,10,82.00,73.77,2013,JAM,78.00,
426167955,1,MPKK,TRUE,11,87.00,77.78,2023,JAM,0.00,
426266795,1,999800711,TRUE,12,90.00,82.58,2023,JAM,0.00,
426255114,2,401121000,FALSE,11,90.00,78.98,2023,JAM,0.00,
426233243,1,999800408,TRUE,12,97.00,82.89,2023,JAM,0.00,
426137153,2,300230000,FALSE,11,83.00,74.18,2023,JAM,0.00,
426104913,2,999800408,FALSE,11,86.00,77.37,2013,JAM,78.00,
426171269,1,710101000,TRUE,10,83.00,75.12,2023,JAM,0.00,
426270427,2,999800709,TRUE,10,88.00,76.84,2023,JAM,0.00,
426240070,2,999800701,TRUE,10,84.00,72.71,2013,JAM,70.00,
426169605,1,999800716,TRUE,11,91.00,81.02,2013,JAM,75.00,
426135850,2,999800715,FALSE,11,89.00,82.20,2013,JAM,78.00,
426029449,1,600070200,TRUE,11,84.00,76.63,2023,JAM,0.00,
426318891,2,401121000,FALSE,10,78.00,69.74,2013,JAM,75.00,
426127394,1,999800408,FALSE,10,78.00,67.78,2013,JAM,78.00,
426341583,2,999800704,FALSE,11,92.00,81.82,2023,JAM,0.00,
426256521,2,999800702,TRUE,11,88.00,76.25,2013,JAM,68.00,
426190307,1,999800709,TRUE,12,94.00,80.87,2023,JAM,0.00,
426130292,2,999800408,TRUE,11,94.00,89.30,2013,JAM,78.00,
426145329,2,999800702,FALSE,10,80.00,74.96,2013,JAM,70.00,
426271892,2,802010100,FALSE,10,95.00,80.81,2013,JAM,75.00,
426233243,1,401002000,FALSE,11,90.00,76.91,2023,JAM,0.00,
426150046,1,999800716,TRUE,11,84.00,72.76,2023,JAM,0.00,
426264635,1,999800711,TRUE,11,92.00,78.27,2023,JAM,0.00,
426245406,1,IPSK,TRUE,10,81.00,77.71,2023,JAM,0.00,
426336403,2,200010300,TRUE,10,85.00,80.15,2023,JAM,0.00,
426275493,1,999800713,TRUE,10,88.00,75.86,2013,JAM,75.00,
426094440,2,999800702,FALSE,10,83.00,73.53,2013,JAM,75.00,
426214654,2,999800711,TRUE,11,88.00,80.37,2023,JAM,0.00,
426221194,1,999800717,FALSE,10,80.00,74.18,2013,JAM,75.00,
426069297,1,200010300,TRUE,12,88.00,82.26,2023,JAM,0.00,
426280838,1,999800408,TRUE,12,99.00,84.46,2023,JAM,0.00,
426315965,2,999800702,TRUE,11,93.00,79.67,2023,JAM,0.00,
426142253,1,999800701,TRUE,10,83.00,73.11,2023,JAM,0.00,
426140543,1,200010300,TRUE,10,75.00,65.97,2023,JAM,0.00,
426110016,1,825220100,FALSE,11,80.00,70.53,2013,JAM,75.00,
426331794,2,999800702,TRUE,11,73.00,62.72,2023,JAM,0.00,
426246706,1,999800703,FALSE,12,90.00,77.49,2023,JAM,0.00,
426289155,1,999800706,FALSE,11,87.00,79.58,2023,JAM,0.00,
426135799,2,999800701,TRUE,11,96.00,81.93,2023,JAM,0.00,
426043452,1,999800711,TRUE,10,85.00,76.45,2023,JAM,0.00,
426003489,2,400001,FALSE,11,79.00,70.17,2013,JAM,75.00,
426315817,2,999800715,TRUE,11,90.00,79.58,2023,JAM,0.00,
426270427,1,999800711,TRUE,11,85.00,74.22,2023,JAM,0.00,
426260635,1,SPR,TRUE,10,85.00,72.90,2023,JAM,0.00,
426170026,2,999800408,TRUE,11,95.00,84.53,2023,JAM,0.00,
426236351,1,SPR,TRUE,10,78.00,69.87,2023,JAM,0.00,
426153178,1,DPK,TRUE,10,85.00,75.21,2023,JAM,0.00,
426245995,2,300230000,FALSE,11,96.00,81.89,2023,JAM,0.00,
426266045,2,200010300,TRUE,11,91.00,80.65,2023,JAM,0.00,
426234399,2,999800702,TRUE,11,91.00,77.93,2023,JAM,0.00,
426182351,1,999800702,TRUE,10,76.00,66.08,2023,JAM,0.00,
426003489,1,400003,FALSE,10,87.00,77.28,2013,JAM,75.00,
426313522,2,200010300,TRUE,11,90.00,80.46,2023,JAM,0.00,
426126718,1,999800715,TRUE,12,98.00,83.51,2023,JAM,0.00,
426270427,2,999800701,TRUE,10,80.00,69.85,2023,JAM,0.00,
426174900,2,999800709,TRUE,10,87.00,77.03,2023,JAM,0.00,
426342452,1,999800702,TRUE,12,89.00,85.46,2023,JAM,0.00,
426163012,1,999800702,TRUE,10,86.00,77.99,2023,JAM,0.00,
426128002,2,400002,FALSE,10,89.00,86.51,2013,JAM,80.00,
426147293,2,200010300,TRUE,10,86.00,76.53,2023,JAM,0.00,
426257890,1,999800716,TRUE,10,88.00,75.79,2013,JAM,65.00,
426247386,1,999800408,FALSE,11,84.00,74.87,2013,JAM,72.00,
426148270,2,200010300,TRUE,10,85.00,73.06,2023,JAM,0.00,
426329536,1,999800408,TRUE,12,90.00,77.56,2023,JAM,0.00,
426251132,1,999800713,TRUE,10,80.00,73.20,2013,JAM,70.00,
426131654,2,999800703,FALSE,11,85.00,78.08,2023,JAM,0.00,
426017125,1,999800709,TRUE,10,86.00,75.17,2023,JAM,0.00,
426250552,1,999800408,TRUE,11,78.00,70.72,2013,JAM,70.00,
426227905,2,401121000,FALSE,10,79.00,68.74,2013,JAM,75.00,
426238615,2,600070200,TRUE,11,93.00,80.34,2023,JAM,0.00,
426144491,2,801050100,FALSE,10,77.00,69.30,2013,JAM,72.00,
426199443,1,SPR,TRUE,10,87.00,74.42,2023,JAM,0.00,
426121231,2,999800716,TRUE,11,96.00,83.83,2023,JAM,0.00,
426237597,1,KBA,FALSE,12,90.00,78.69,2013,JAM,75.00,
426180246,2,999800701,TRUE,11,91.00,84.44,2023,JAM,0.00,
426141931,2,999800716,TRUE,10,85.00,76.81,2013,JAM,72.00,
426241598,1,999800711,FALSE,12,88.00,78.27,2013,JAM,2.70,
426105566,1,999800702,TRUE,10,84.00,75.58,2023,JAM,0.00,
426126751,2,999800709,TRUE,11,98.00,83.38,2023,JAM,0.00,
426243819,1,999800704,FALSE,11,82.00,70.44,2023,JAM,0.00,
426151386,2,999800715,FALSE,10,84.00,73.64,2013,JAM,72.00,
426341768,2,999800711,TRUE,11,87.00,76.95,2023,JAM,0.00,
426170984,1,999800717,FALSE,11,84.00,75.41,2023,JAM,0.00,
426163012,1,999800701,TRUE,11,90.00,81.61,2023,JAM,0.00,
426189810,2,999800702,TRUE,11,85.00,73.81,2023,JAM,0.00,
426136338,2,999800711,TRUE,11,96.00,83.77,2023,JAM,0.00,
426343725,1,999800708,FALSE,12,94.00,80.75,2023,JAM,0.00,
426150001,2,710101000,TRUE,10,85.00,75.41,2023,JAM,0.00,
426332163,2,200010300,TRUE,10,83.00,78.50,2023,JAM,0.00,
426286201,2,999800702,TRUE,11,88.00,78.03,2023,JAM,0.00,
426265825,2,999800709,TRUE,11,79.00,69.11,2023,JAM,0.00,
426237982,1,999800715,TRUE,11,92.00,82.69,2023,JAM,0.00,
426216442,2,999800701,TRUE,11,97.00,84.00,2023,JAM,0.00,
426341987,2,999800701,TRUE,11,89.00,86.69,2013,JAM,78.00,
426233126,1,999800716,FALSE,10,91.00,78.58,2013,JAM,75.00,
426341769,1,710101000,FALSE,12,93.00,83.43,2023,JAM,0.00,
426137302,2,600060000,FALSE,11,92.00,78.98,2023,JAM,0.00,
426147257,1,200010300,TRUE,12,96.00,90.76,2023,JAM,0.00,
426266045,1,401121000,FALSE,12,87.00,77.10,2023,JAM,0.00,
426158920,1,999800716,TRUE,12,93.00,81.34,2023,JAM,0.00,
426230360,2,DPK,TRUE,10,95.00,81.17,2023,JAM,0.00,
426257127,2,999800713,TRUE,11,90.00,84.64,2013,JAM,78.00,
426004749,1,999800701,TRUE,11,85.00,77.35,2023,JAM,0.00,
426229076,2,999800711,FALSE,11,94.00,82.20,2013,JAM,70.00,
426147293,2,710101000,TRUE,10,85.00,75.64,2023,JAM,0.00,
426275493,2,999800711,TRUE,10,90.00,77.58,2013,JAM,75.00,
426207002,1,400004,FALSE,11,90.00,80.05,2013,JAM,75.00,
426132957,1,999800701,FALSE,10,90.00,77.34,2013,JAM,75.00,
426243482,1,999800716,TRUE,12,83.00,74.51,2013,JAM,80.00,
426255114,2,999800711,TRUE,11,94.00,82.49,2023,JAM,0.00,
426138480,1,999800713,FALSE,10,80.00,72.46,2013,JAM,70.00,
426233122,2,999800711,FALSE,10,88.00,75.94,2013,JAM,75.00,
426233243,2,IPAK,TRUE,10,90.00,76.91,2023,JAM,0.00,
426231351,1,999800711,TRUE,10,78.00,69.64,2023,JAM,0.00,
426062287,1,MPKK,TRUE,11,80.00,73.23,2023,JAM,0.00,
426182351,2,999800711,TRUE,11,85.00,73.90,2023,JAM,0.00,
426126351,1,200010300,TRUE,10,90.00,78.21,2023,JAM,0.00,
426131124,1,MPKK,TRUE,11,81.00,73.83,2023,JAM,0.00,
426149305,1,999800713,TRUE,10,87.00,82.34,2013,JAM,75.00,
426150533,1,401002000,FALSE,11,80.00,68.61,2023,JAM,0.00,
426130323,1,801050100,FALSE,11,78.00,70.06,2013,JAM,76.00,
426003643,2,999800709,TRUE,11,85.00,77.57,2023,JAM,0.00,
426128002,2,999800702,FALSE,11,88.00,85.54,2013,JAM,85.00,
426254636,1,999800711,TRUE,10,94.00,79.95,2013,JAM,70.00,
426340993,2,999800716,TRUE,11,99.00,88.92,2013,JAM,81.00,
