kode_prodi,nomor_pendaftaran,no_urut_pilihan
11131007,426253462,1
11131007,426640226,1
11131012,426464600,1
11131018,426151840,1
11131018,426409166,1
11131001,426318891,1
11131019,426073805,1
11131012,426294100,1
11131018,426310837,1
11131007,426340329,1
11131026,426339065,1
11131024,426465876,1
11131016,426306684,1
11131002,426066204,1
11131005,426558676,1
11131019,426336101,1
11131018,426409466,1
11131018,426255114,1
11131015,426338318,1
11131020,426125993,1
11131007,426346019,1
11131023,426388863,1
11131015,426343267,1
11131007,426616262,1
11131013,426350723,1
11131015,426348605,1
11131018,426340696,1
11131007,426000542,1
11131013,426468206,1
11131005,426032862,1
11131007,426377938,1
11131021,426132686,1
11131015,426134211,1
11131013,426348768,1
11131001,426348124,1
11131018,426334384,1
11131023,426254553,1
11131019,426046366,1
11131015,426254737,1
11131023,426155155,1
11131015,426336924,1
11131013,426341768,1
11131007,426262637,1
11131007,426147251,1
11131015,426391761,1
11131002,426556779,1
11131016,426390953,1
11131026,426352292,1
11131016,426397763,1
11131023,426244497,1
11131018,426245788,1
11131007,426331154,1
11131018,426558047,1
11131016,426315965,1
11131013,426347102,1
11131013,426511774,1
11131012,426741028,1
11131020,426157076,1
11131026,426337383,1
11131007,426126751,1
11131015,426341477,1
11131015,426465472,1
11131007,426336511,1
11131023,426345020,1
11131018,426201874,1
11131019,426568258,1
11131003,426151562,1
11131012,426336701,1
11131002,426390262,1
11131013,426349386,1
11131007,426245406,1
11131013,426331674,1
11131023,426650432,1
11131020,426141367,1
11131002,426389319,1
11131016,426339619,1
11131007,426407262,1
11131016,426341790,1
11131007,426420761,1
11131023,426301756,1
11131013,426345647,1
11131003,426344383,1
11131002,426332269,1
11131023,426148422,1
11131018,426328921,1
11131015,426541237,1
11131016,426555267,1
11131004,426350838,1
11131021,426127859,1
11131018,426347569,1
11131013,426036794,1
11131013,426390208,1
11131023,426227905,1
11131016,426006353,1
11131019,426338491,1
11131013,426194433,1
11131012,426362608,1
11131024,426390843,1
11131023,426340025,1
11131019,426281763,1
11131022,426360027,1
11131003,426339140,1
11131023,426143070,1
11131003,426392553,1
11131016,426386964,1
11131015,426441040,1
11131019,426147496,1
11131023,426369561,1
11131023,426197141,1
11131002,426146537,1
11131007,426315479,1
11131023,426225096,1
11131013,426394733,1
11131007,426255285,1
11131012,426187875,1
11131020,426284380,1
11131011,426734823,1
11131023,426586991,1
11131019,426231753,1
11131004,426469474,1
11131013,426395511,1
11131015,426395944,1
11131015,426395919,1
11131017,426443109,1
11131007,426207141,1
11131008,426145329,1
11131016,426023018,1
11131007,426138480,1
11131013,426403363,1
11131007,426147220,1
11131013,426396672,1
11131007,426450276,1
11131016,426465753,1
11131007,426147264,1
11131023,426050866,1
11131013,426147586,1
11131012,426443406,1
11131001,426609505,1
11131011,426398355,1
11131018,426398446,1
11131011,426060723,1
11131007,426467417,1
11131027,426438900,1
11131018,426423388,1
11131022,426348441,1
11131018,426417322,1
11131022,426233126,1
11131016,426155506,1
11131004,426399588,1
11131001,426336403,1
11131022,426094440,1
11131012,426231736,1
11131013,426195090,1
11131003,426400695,1
11131002,426062287,1
11131002,426145931,1
11131013,426557737,1
11131016,426043452,1
11131019,426243874,1
11131019,426400468,1
11131002,426098528,1
11131012,426401203,1
11131002,426041639,1
11131023,426314612,1
11131018,426616839,1
11131012,426150046,1
11131026,426449491,1
11131007,426019859,1
11131025,426537562,1
11131016,426469621,1
11131004,426142374,1
11131023,426152899,1
11131016,426019729,1
11131013,426160935,1
11131013,426403401,1
11131024,426158920,1
11131017,426590860,1
11131019,426459410,1
11131013,426000613,1
11131016,426462521,1
11131015,426713921,1
11131007,426435369,1
11131020,426560394,1
11131013,426463032,1
11131016,426177950,1
11131013,426405312,1
11131013,426376143,1
11131026,426682619,1
11131013,426405941,1
11131023,426170560,1
11131020,426404905,1
11131010,426712859,1
11131003,426406456,1
11131007,426004245,1
11131023,426016047,1
11131002,426465670,1
11131012,426505457,1
11131003,426395745,1
11131023,426282875,1
11131013,426473233,1
11131024,426473755,1
11131016,426391693,1
11131003,426460981,1
11131012,426474916,1
11131014,426473515,1
11131002,426459764,1
11131021,426464112,1
11131020,426210155,1
11131020,426389616,1
11131013,426473175,1
11131001,426520655,1
11131001,426181417,1
11131023,426197776,1
11131025,426519281,1
11131007,426715369,1
11131004,426476103,1
11131018,426234399,1
11131017,426476174,1
11131023,426475313,1
11131020,426634985,1
11131021,426476241,1
11131006,426476776,1
11131025,426476020,1
11131013,426345555,1
11131007,426522504,1
11131007,426476973,1
11131010,426515316,1
11131023,426157204,1
11131005,426474158,1
11131001,426290575,1
11131006,426519202,1
11131007,426402661,1
11131012,426712633,1
11131017,426540771,1
11131013,426521038,1
11131019,426564049,1
11131001,426519384,1
11131025,426548194,1
11131013,426561381,1
11131002,426563841,1
11131022,426008617,1
11131001,426395504,1
11131013,426535869,1
11131013,426518352,1
11131023,426410701,1
11131001,426088298,1
11131007,426561925,1
11131013,426562175,1
11131024,426383930,1
11131016,426770160,1
11131016,426652410,1
11131025,426010488,1
11131007,426565019,1
11131004,426470673,1
11131023,426568766,1
11131001,426480176,1
11131023,426479055,1
11131004,426520740,1
11131002,426480181,1
11131007,426511211,1
11131023,426527814,1
11131023,426398831,1
11131002,426706025,1
11131013,426289155,1
11131013,426394059,1
11131012,426139201,1
11131024,426243160,1
11131012,426564200,1
11131013,426127425,1
11131017,426518235,1
11131023,426544721,1
11131021,426328127,1
11131001,426619203,1
11131023,426519337,1
11131007,426254620,1
11131013,426076505,1
11131019,426054046,1
11131012,426124425,1
11131013,426484631,1
11131007,426395569,1
11131024,426623515,1
11131013,426521924,1
11131007,426512124,1
11131022,426024722,1
11131012,426528261,1
11131019,426417023,1
11131007,426126883,1
11131023,426711774,1
11131024,426243330,1
11131013,426209306,1
11131019,426520723,1
11131019,426550371,1
11131002,426435988,1
11131023,426520082,1
11131023,426286125,1
11131023,426255231,1
11131013,426545705,1
11131013,426514130,1
11131023,426451396,1
11131020,426490889,1
11131010,426562241,1
11131003,426115960,1
11131001,426315804,1
11131007,426565464,1
11131007,426479270,1
11131013,426520205,1
11131021,426232710,1
11131013,426684812,1
11131007,426140372,1
11131015,426564172,1
11131007,426345317,1
11131019,426540960,1
11131018,426771029,1
11131004,426522391,1
11131012,426028717,1
11131023,426571459,1
11131012,426544993,1
11131005,426368046,1
11131007,426522457,1
11131017,426361398,1
11131023,426524514,1
11131002,426107522,1
11131005,426512393,1
11131010,426135008,1
11131002,426441907,1
11131023,426051492,1
11131022,426309524,1
11131019,426564230,1
11131018,426183055,1
11131016,426524652,1
11131007,426017125,1
11131012,426378805,1
11131023,426667692,1
11131013,426267110,1
11131022,426524786,1
11131020,426490532,1
11131019,426047341,1
11131018,426548812,1
11131012,426563793,1
11131007,426253647,1
11131013,426480677,1
11131018,426524970,1
11131001,426168642,1
11131003,426153403,1
11131019,426331794,1
11131011,426620219,1
11131018,426524435,1
11131023,426265825,1
11131019,426274723,1
11131017,426290615,1
11131001,426393550,1
11131010,426510586,1
11131018,426537169,1
11131003,426560362,1
11131013,426525135,1
11131018,426072541,1
11131013,426569217,1
11131025,426627004,1
11131012,426621232,1
11131002,426799014,1
11131005,426619753,1
11131018,426418237,1
11131012,426233122,1
11131023,426569913,1
11131010,426479315,1
11131013,426714437,1
11131006,426607937,1
11131015,426666428,1
11131007,426345098,1
11131007,426611740,1
11131026,426611287,1
11131013,426624032,1
11131012,426246108,1
11131007,426520326,1
11131002,426241131,1
11131022,426570853,1
11131018,426030667,1
11131025,426770839,1
11131007,426596098,1
11131012,426347281,1
11131023,426625356,1
11131017,426560689,1
11131013,426571364,1
11131011,426528453,1
11131022,426570769,1
11131022,426511919,1
11131005,426624058,1
11131007,426341625,1
11131010,426210404,1
11131016,426249027,1
11131013,426626217,1
11131004,426572486,1
11131002,426572788,1
11131017,426029909,1
11131007,426309077,1
11131013,426571007,1
11131003,426600492,1
11131016,426631009,1
11131001,426422785,1
11131023,426479509,1
11131019,426626835,1
11131013,426574556,1
11131012,426574434,1
11131013,426550038,1
11131018,426574583,1
11131018,426565408,1
11131001,426579600,1
11131015,426713091,1
11131020,426400205,1
11131001,426574885,1
11131007,426571750,1
11131020,426572007,1
11131020,426610993,1
11131015,426363390,1
11131011,426485825,1
11131011,426336905,1
11131013,426571742,1
11131018,426632902,1
11131011,426550277,1
11131017,426712713,1
11131004,426575901,1
11131015,426571741,1
11131011,426597969,1
11131018,426614567,1
11131011,426550308,1
11131007,426078463,1
11131018,426397819,1
11131002,426501220,1
11131004,426511025,1
11131011,426619478,1
11131007,426607763,1
11131010,426108363,1
11131015,426573526,1
11131013,426397871,1
11131003,426127699,1
11131019,426594964,1
11131007,426704850,1
11131012,426169052,1
11131007,426612814,1
11131020,426578633,1
11131004,426189810,1
11131016,426382669,1
11131004,426138986,1
11131013,426623453,1
11131019,426136338,1
11131023,426535924,1
11131023,426250552,1
11131004,426629644,1
11131023,426614187,1
11131015,426613738,1
11131002,426267352,1
11131013,426581327,1
11131007,426537462,1
11131012,426545008,1
11131013,426292110,1
11131013,426582413,1
11131018,426184061,1
11131007,426582469,1
11131011,426291159,1
11131013,426588865,1
11131001,426475697,1
11131019,426638742,1
11131013,426532130,1
11131013,426334544,1
11131017,426523862,1
11131018,426393936,1
11131007,426583018,1
11131007,426462133,1
11131006,426583965,1
11131023,426010280,1
11131022,426594981,1
11131019,426396695,1
11131023,426768816,1
11131012,426246706,1
11131007,426409395,1
11131007,426064006,1
11131023,426114028,1
11131023,426429099,1
11131007,426470475,1
11131004,426772619,1
11131022,426716248,1
11131013,426248554,1
11131005,426767060,1
11131013,426690097,1
11131016,426270427,1
11131003,426690727,1
11131023,426690862,1
11131012,426690846,1
11131024,426690579,1
11131020,426690099,1
11131019,426690210,1
11131001,426772644,1
11131013,426398789,1
11131019,426544080,1
11131012,426464821,1
11131002,426326175,1
11131014,426138533,1
11131013,426447862,1
11131023,426617463,1
11131015,426695712,1
11131003,426121231,1
11131013,426701607,1
11131012,426127861,1
11131020,426811638,1
11131023,426691130,1
11131013,426593268,1
11131019,426686065,1
11131011,426662608,1
11131007,426224945,1
11131007,426514927,1
11131020,426598348,1
11131002,426550933,1
11131024,426663192,1
11131013,426745537,1
11131019,426490716,1
11131003,426478900,1
11131004,426405625,1
11131007,426719235,1
11131013,426686980,1
11131007,426717828,1
11131007,426755593,1
11131020,426157127,1
11131013,426664278,1
11131018,426752196,1
11131001,426727407,1
11131007,426737568,1
11131013,426658872,1
11131019,426664200,1
11131002,426665014,1
11131023,426341291,1
11131019,426207002,1
11131003,426534184,1
11131012,426150942,1
11131017,426734981,1
11131019,426739184,1
11131023,426663463,1
11131012,426138107,1
11131023,426729627,1
11131007,426716355,1
11131022,426663533,1
11131017,426148203,1
11131013,426716684,1
11131023,426697595,1
11131018,426716951,1
11131013,426609980,1
11131017,426026426,1
11131017,426665827,1
11131001,426416640,1
11131017,426682635,1
11131007,426687643,1
11131016,426217275,1
11131020,426519382,1
11131007,426123357,1
11131018,426726066,1
11131013,426326766,1
11131007,426578399,1
11131013,426718315,1
11131013,426723376,1
11131005,426127104,1
11131016,426703230,1
11131022,426380261,1
11131011,426546798,1
11131002,426161594,1
11131018,426233243,1
11131003,426632268,1
11131019,426614168,1
11131013,426700341,1
11131005,426749173,1
11131020,426181282,1
11131013,426729060,1
11131013,426516940,1
11131012,426424335,1
11131023,426124052,1
11131019,426669216,1
11131023,426435870,1
11131020,426376135,1
11131003,426623668,1
11131013,426693417,1
11131018,426397039,1
11131019,426077794,1
11131023,426145050,1
11131022,426104913,1
11131021,426698323,1
11131019,426143228,1
11131022,426729998,1
11131018,426669540,1
11131023,426658123,1
11131005,426195829,1
11131015,426198270,1
11131015,426173051,1
11131018,426665059,1
11131022,426180246,1
11131013,426676875,1
11131013,426476509,1
11131007,426638966,1
11131023,426341582,1
11131017,426668776,1
11131004,426341563,1
11131013,426632395,1
11131013,426147218,1
11131016,426694386,1
11131007,426341583,1
11131003,426671330,1
11131012,426718114,1
11131020,426725295,1
11131019,426714387,1
11131007,426344828,1
11131002,426719879,1
11131023,426397159,1
11131014,426719974,1
11131006,426725026,1
11131007,426181200,1
11131011,426754690,1
11131001,426672776,1
11131018,426596919,1
11131004,426449003,1
11131020,426334514,1
11131018,426685904,1
11131013,426737408,1
11131015,426626844,1
11131013,426727081,1
11131007,426749344,1
11131023,426801402,1
11131015,426623012,1
11131015,426725917,1
11131007,426666514,1
11131023,426718695,1
11131013,426754824,1
11131007,426673206,1
11131013,426549996,1
11131002,426511393,1
11131003,426522688,1
11131013,426755118,1
11131012,426687960,1
11131015,426391028,1
11131006,426324056,1
11131012,426703681,1
11131007,426139714,1
11131017,426140638,1
11131007,426522945,1
11131018,426169605,1
11131007,426391544,1
11131013,426025805,1
11131018,426403744,1
11131010,426230360,1
11131018,426113479,1
11131020,426751805,1
11131007,426747254,1
11131018,426169870,1
11131013,426508041,1
11131013,426397010,1
11131016,426675829,1
11131005,426725594,1
11131007,426685946,1
11131012,426460408,1
11131023,426018712,1
11131012,426278028,1
11131017,426742107,1
11131022,426720028,1
11131019,426057808,1
11131004,426662826,1
11131023,426265175,1
11131017,426754417,1
11131013,426591689,1
11131005,426172482,1
11131010,426753766,1
11131016,426353473,1
11131023,426237523,1
11131007,426717545,1
11131007,426757497,1
11131023,426569687,1
11131017,426171109,1
11131001,426352214,1
11131018,426571997,1
11131019,426667231,1
11131020,426718993,1
11131014,426675118,1
11131013,426436940,1
11131023,426727489,1
11131017,426194756,1
11131019,426569300,1
11131005,426136297,1
11131020,426678281,1
11131017,426678376,1
11131007,426342593,1
11131023,426691636,1
11131003,426667813,1
11131012,426723035,1
11131019,426548334,1
11131013,426275446,1
11131012,426720226,1
11131007,426747952,1
11131001,426679042,1
11131017,426751872,1
11131018,426753398,1
11131001,426161024,1
11131012,426459738,1
11131020,426264635,1
11131012,426341810,1
11131007,426342618,1
11131020,426736983,1
11131007,426727640,1
11131023,426134885,1
11131016,426772559,1
11131015,426688543,1
11131013,426688884,1
11131007,426229452,1
11131015,426259557,1
11131003,426150533,1
11131013,426598806,1
11131002,426217150,1
11131016,426580020,1
11131007,426804542,1
11131017,426147005,1
11131013,426772971,1
11131018,426624351,1
11131014,426771516,1
11131023,426141980,1
11131018,426077324,1
11131022,426166695,1
11131020,426804045,1
11131013,426360607,1
11131003,426432686,1
11131023,426782305,1
11131012,426377406,1
11131015,426329424,1
11131023,426028908,1
11131007,426293123,1
11131012,426259516,1
11131023,426114668,1
11131023,426115157,1
11131023,426079484,1
11131012,426740515,1
11131023,426029087,1
11131012,426242547,1
11131007,426606188,1
11131013,426761183,1
11131023,426193764,1
11131012,426146990,1
11131018,426828602,1
11131012,426759927,1
11131002,426803387,1
11131003,426402126,1
11131012,426761065,1
11131003,426827570,1
11131015,426155579,1
11131018,426064543,1
11131007,426752958,1
11131004,426793384,1
11131013,426162121,1
11131020,426790281,1
11131022,426220697,1
11131024,426520641,1
11131018,426796613,1
11131025,426779299,1
11131015,426763140,1
11131019,426773307,1
11131015,426139471,1
11131022,426731301,1
11131013,426265838,1
11131024,426003441,1
11131022,426642320,1
11131013,426002004,1
11131013,426830826,1
11131022,426217407,1
11131004,426216047,1
11131007,426353492,1
11131023,426737381,1
11131024,426764104,1
11131015,426424063,1
11131007,426450429,1
11131013,426745224,1
11131016,426758281,1
11131019,426385130,1
11131013,426334399,1
11131015,426157070,1
11131002,426218307,1
11131017,426235373,1
11131023,426395689,1
11131008,426795962,1
11131015,426391497,1
11131023,426804306,1
11131013,426127061,1
11131003,426604161,1
11131016,426266045,1
11131023,426689495,1
11131003,426477717,1
11131018,426641168,1
11131006,426093540,1
11131023,426677046,1
11131023,426348464,1
11131002,426152099,1
11131026,426741910,1
11131004,426758436,1
11131004,426830979,1
11131023,426015089,1
11131007,426011197,1
11131020,426766477,1
11131017,426247321,1
11131017,426766888,1
11131023,426035734,1
11131007,426746256,1
11131013,426802135,1
11131013,426767082,1
11131018,426766972,1
11131013,426530338,1
11131013,426768428,1
11131002,426613192,1
11131023,426147293,1
11131012,426566532,1
11131018,426784069,1
11131018,426313522,1
11131013,426479058,1
11131007,426416260,1
11131003,426497223,1
11131023,426804293,1
11131024,426760920,1
11131005,426145609,1
11131023,426549458,1
11131014,426578449,1
11131014,426831271,1
11131023,426378750,1
11131020,426230722,1
11131019,426339721,1
11131013,426394805,1
11131018,426842246,1
11131022,426290429,1
11131009,426839576,1
11131020,426140815,1
11131013,426840562,1
11131011,426723365,1
11131012,426378096,1
11131001,426379295,1
11131019,426782357,1
11131002,426230110,1
11131007,426839622,1
11131022,426839642,1
11131025,426834127,1
11131002,426306002,1
11131012,426812405,1
11131023,426147189,1
11131024,426069801,1
11131018,426841088,1
11131018,426711998,1
11131018,426792520,1
11131003,426768815,1
11131007,426241343,1
11131006,426836238,1
11131019,426264697,1
11131019,426814109,1
11131018,426476785,1
11131023,426791422,1
11131014,426256329,1
11131007,426395251,1
11131023,426835315,1
11131023,426691813,1
11131021,426814281,1
11131020,426315952,1
11131007,426144688,1
11131020,426390950,1
11131010,426429152,1
11131019,426012007,1
11131012,426610303,1
11131023,426397776,1
11131023,426535782,1
11131012,426840943,1
11131012,426540688,1
11131007,426830193,1
11131023,426835088,1
11131016,426836765,1
11131007,426728408,1
11131012,426718325,1
11131015,426367754,1
11131001,426073046,1
11131012,426829046,1
11131013,426018008,1
11131005,426315566,1
11131004,426398262,1
11131017,426533321,1
11131023,426818388,1
11131015,426819503,1
11131005,426819452,1
11131007,426579785,1
11131012,426819454,1
11131013,426817782,1
11131018,426784345,1
11131016,426820776,1
11131013,426821140,1
11131018,426821298,1
11131022,426734862,1
11131018,426766008,1
11131020,426195622,1
11131007,426606898,1
11131005,426482896,1
11131024,426332563,1
11131018,426404414,1
11131003,426397176,1
11131024,426025068,1
11131012,426332163,1
11131023,426159445,1
11131013,426652537,1
11131018,426416832,1
11131001,426105566,1
11131016,426587940,1
11131023,426292890,1
11131004,426350383,1
11131023,426214562,1
11131007,426346990,1
11131014,426285468,1
11131005,426269355,1
11131019,426340924,1
11131013,426056469,1
11131010,426140535,1
11131017,426007195,1
11131007,426232808,1
11131016,426682784,1
11131018,426449792,1
11131018,426333045,1
11131010,426137302,1
11131018,426634240,1
11131023,426794037,1
11131013,426058054,1
11131016,426525276,1
11131012,426643487,1
11131007,426514856,1
11131020,426305160,1
11131020,426520898,1
11131018,426462151,1
11131013,426304493,1
11131012,426525404,1
11131003,426712215,1
11131013,426654242,1
11131013,426123653,1
11131004,426520645,1
